sistema,tecnologia,capacidad_mw,costo_variable_usd_mwh,fuente
SIN,CCGT/Gas,34200,45,PRODESEN 2024-2038 / SENER
SIN,Carbón,5400,60,PRODESEN 2024-2038 / SENER
SIN,Fuel Oil,12800,100,PRODESEN 2024-2038 / SENER
SIN,Diésel/Peaker,2100,150,PRODESEN 2024-2038 / SENER
SIN,Hidro,12642,5,PRODESEN 2024-2038 / SENER
SIN,Solar,8900,2,PRODESEN 2024-2038 / SENER-CRE
SIN,Eólica,7200,3,PRODESEN 2024-2038 / SENER-CRE
SIN,Nuclear,1608,10,PRODESEN 2024-2038 / SENER (Laguna Verde)
SIN,Geotérmica,932,5,PRODESEN 2024-2038 / SENER
BCA,CCGT/Gas,2800,48,PRODESEN 2024-2038 / SENER
BCA,Fuel Oil,600,105,PRODESEN 2024-2038 / SENER
BCA,Diésel/Peaker,180,155,PRODESEN 2024-2038 / SENER
BCA,Solar,1200,2,PRODESEN 2024-2038 / SENER-CRE
BCA,Eólica,620,3,PRODESEN 2024-2038 / SENER-CRE
BCA,Geotérmica,720,5,PRODESEN 2024-2038 / SENER (Cerro Prieto)
BCS,CCGT/Gas,320,52,PRODESEN 2024-2038 / SENER
BCS,Fuel Oil,450,110,PRODESEN 2024-2038 / SENER
BCS,Diésel/Peaker,280,160,PRODESEN 2024-2038 / SENER
BCS,Solar,180,2,PRODESEN 2024-2038 / SENER-CRE
BCS,Eólica,50,3,PRODESEN 2024-2038 / SENER-CRE
